Steelers,PIT,D,17
Texans,HOU,D,13
Seahawks,SEA,D,11
Packers,GB,D,6
Dolphins,MIA,D,5
Giants,NYG,D,3
Lions,DET,D,3
Raiders,OAK,D,0
#
Stink,STK,K,0
#Nick Novak,HOU,K,10
#Mason Crosby,GB,K,8
#Matt Prater,DET,K,8
#Robbie Gould,NYG,K,7
#Andrew Franks,MIA,K,6
#Steven Hauschka,SEA,K,5
#Chris Boswell,PIT,K,3
#Sebastien Janikowski,OAK,K,2
#
Aaron Rodgers,GB,QB,38.91
Russell Wilson,SEA,QB,24.33
Eli Manning,NYG,QB,19.63
Ben Roethlisberger,PIT,QB,17.21
Brock Osweiler,HOU,QB,16.22
Matthew Stafford,DET,QB,15.7
Le'Veon Bell,PIT,RB,31.4
Thomas Rawls,SEA,RB,23.2
Zach Zenner,DET,RB,14.8
Lamar Miller,HOU,RB,13.3
Latavius Murray,OAK,RB,12.1
Ty Montgomery,GB,RB,9.8
Paul Perkins,NYG,RB,8.7
Jay Ajayi,MIA,RB,7.5
Rashad Jennings,NYG,RB,4.3
Will Tye,NYG,TE,10.6
Jared Cook,GB,TE,9.8
Dion Sims,MIA,TE,8.4
Jimmy Graham,SEA,TE,6.7
C.J. Fiedorowicz,HOU,TE,5.5
Eric Ebron,DET,TE,4.3
Clive Walford,OAK,TE,3.6
Jesse James,PIT,TE,1.6
Randall Cobb,GB,WR,34.6
Antonio Brown,PIT,WR,29.4
Doug Baldwin,SEA,WR,28
Davante Adams,GB,WR,26.5
Jarvis Landry,MIA,WR,21.2
DeAndre Hopkins,HOU,WR,17.7
Kenny Stills,MIA,WR,13.2
Marvin Jones,DET,WR,12.1
Sterling Shepard,NYG,WR,10.3
DeVante Parker,MIA,WR,9.5
Odell Beckham,NYG,WR,6.8
Victor Cruz,NYG,WR,6
Golden Tate,DET,WR,5.5
Michael Crabtree,OAK,WR,5.3
Anquan Boldin,DET,WR,4.4
Jermaine Kearse,SEA,WR,3.4
Amari Cooper,OAK,WR,3
Jordy Nelson,GB,WR,2.3
