#Player,Team,Position,Points
Steelers,PIT,D,26
Texans,HOU,D,21
Patriots,NE,D,13
Seahawks,SEA,D,12
Falcons,ATL,D,11
Packers,GB,D,10
Chiefs,KC,D,7
Cowboys,DAL,D,5
Dolphins,MIA,D,5
Giants,NYG,D,3
Lions,DET,D,3
Raiders,OAK,D,0
#,#,#,#
Mason Crosby,GB,K,26.6
Chris Boswell,PIT,K,21
Nick Novak,HOU,K,20
Steven Hauschka,SEA,K,13
Dan Bailey,DAL,K,12
Matt Bryant,ATL,K,10
Stephen Gostkowski,NE,K,10
Matt Prater,DET,K,8
Robbie Gould,NYG,K,7
Andrew Franks,MIA,K,6
Cairo Santos,KC,K,4
Sebastien Janikowski,OAK,K,2
#,#,#,#
Aaron Rodgers,GB,QB,70.08
Russell Wilson,SEA,QB,47.9
Matt Ryan,ATL,QB,33.89
Brock Osweiler,HOU,QB,31.61
Dak Prescott,DAL,QB,31.38
Ben Roethlisberger,PIT,QB,30.94
Tom Brady,NE,QB,21.38
Eli Manning,NYG,QB,19.63
Alex Smith,KC,QB,16.45
Matthew Stafford,DET,QB,15.7
#,#,#,#
Le'Veon Bell,PIT,RB,50
Ty Montgomery,GB,RB,35.9
Thomas Rawls,SEA,RB,26.6
Lamar Miller,HOU,RB,26.2
Devonta Freeman,ATL,RB,22.5
Dion Lewis,NE,RB,18.4
Tevin Coleman,ATL,RB,16.9
Zach Zenner,DET,RB,14.8
Ezekiel Elliott,DAL,RB,13.3
Latavius Murray,OAK,RB,12.1
Spencer Ware,KC,RB,11.6
James White,NE,RB,8.9
Paul Perkins,NYG,RB,8.7
Jay Ajayi,MIA,RB,7.5
Rashad Jennings,NYG,RB,4.3
Charcandrick West,KC,RB,3.3
LeGarrette Blount,NE,RB,3.1
#,#,#,#
Jared Cook,GB,TE,32.2
C.J. Fiedorowicz,HOU,TE,18.1
Jason Witten,DAL,TE,17.9
Jimmy Graham,SEA,TE,17.9
Jesse James,PIT,TE,14.9
Travis Kelce,KC,TE,12.7
Will Tye,NYG,TE,10.6
Richard Rodgers,GB,TE,10.4
Dion Sims,MIA,TE,8.4
Eric Ebron,DET,TE,4.3
Clive Walford,OAK,TE,3.6
Martellus Bennett,NE,TE,1.4
#,#,#,#
Randall Cobb,GB,WR,47.8
Doug Baldwin,SEA,WR,47.1
Antonio Brown,PIT,WR,46.2
Davante Adams,GB,WR,39.1
Dez Bryant,DAL,WR,34.2
DeAndre Hopkins,HOU,WR,30.2
Julian Edelman,NE,WR,22.9
Jarvis Landry,MIA,WR,21.2
Julio Jones,ATL,WR,18.7
Mohamed Sanu,ATL,WR,14.4
Kenny Stills,MIA,WR,13.2
Marvin Jones,DET,WR,12.1
Taylor Gabriel,ATL,WR,11.1
Sterling Shepard,NYG,WR,10.3
DeVante Parker,MIA,WR,9.5
Cole Beasley,DAL,WR,8.5
Tyreek Hill,KC,WR,8.5
Eli Rogers,PIT,WR,7.7
Odell Beckham,NYG,WR,6.8
Victor Cruz,NYG,WR,6
Golden Tate,DET,WR,5.5
Michael Crabtree,OAK,WR,5.3
Jermaine Kearse,SEA,WR,5.2
Jeremy Maclin,KC,WR,4.8
Anquan Boldin,DET,WR,4.4
Chris Conley,KC,WR,3.9
Amari Cooper,OAK,WR,3
Jordy Nelson,GB,WR,2.3
Michael Floyd,NE,WR,1.9
Danny Amendola,NE,WR,1.5
