#Name,Team,Position,Points
Steelers,PIT,D,26
Patriots,NE,D,21
Texans,HOU,D,21
Falcons,ATL,D,19
Seahawks,SEA,D,12
Chiefs,KC,D,7
Cowboys,DAL,D,5
Dolphins,MIA,D,5
Packers,GB,D,4
Giants,NYG,D,3
Lions,DET,D,3
Raiders,OAK,D,0
#,#,#,#
Mason Crosby,GB,K,27.6
Chris Boswell,PIT,K,21
Nick Novak,HOU,K,20
Stephen Gostkowski,NE,K,19
Matt Bryant,ATL,K,15
Steven Hauschka,SEA,K,13
Dan Bailey,DAL,K,12
Matt Prater,DET,K,8
Robbie Gould,NYG,K,7
Andrew Franks,MIA,K,6
Cairo Santos,KC,K,4
Sebastien Janikowski,OAK,K,2
#,#,#,#
Aaron Rodgers,GB,QB,105.16
Matt Ryan,ATL,QB,82.87
Tom Brady,NE,QB,59.31
Ben Roethlisberger,PIT,QB,57.83
Russell Wilson,SEA,QB,47.9
Brock Osweiler,HOU,QB,31.61
Dak Prescott,DAL,QB,31.38
Eli Manning,NYG,QB,19.63
Alex Smith,KC,QB,16.45
Matthew Stafford,DET,QB,15.7
#,#,#,#
Le'Veon Bell,PIT,RB,52
Devonta Freeman,ATL,RB,40.9
Ty Montgomery,GB,RB,38.8
Tevin Coleman,ATL,RB,32.3
Thomas Rawls,SEA,RB,26.6
Lamar Miller,HOU,RB,26.2
DeAngelo Williams,PIT,RB,23.5
Dion Lewis,NE,RB,22.3
LeGarrette Blount,NE,RB,15.6
Zach Zenner,DET,RB,14.8
Ezekiel Elliott,DAL,RB,13.3
James White,NE,RB,12.7
Latavius Murray,OAK,RB,12.1
Spencer Ware,KC,RB,11.6
Paul Perkins,NYG,RB,8.7
Jay Ajayi,MIA,RB,7.5
Rashad Jennings,NYG,RB,4.3
Patrick DiMarco,ATL,RB,4.1
Charcandrick West,KC,RB,3.3
Christine Michael,GB,RB,2.4
#,#,#,#
Jared Cook,GB,TE,53
Jesse James,PIT,TE,24.7
C.J. Fiedorowicz,HOU,TE,18.1
Jason Witten,DAL,TE,17.9
Jimmy Graham,SEA,TE,17.9
Travis Kelce,KC,TE,12.7
Will Tye,NYG,TE,10.6
Richard Rodgers,GB,TE,10.4
Martellus Bennett,NE,TE,9.6
Dion Sims,MIA,TE,8.4
Austin Hooper,ATL,TE,4.3
Eric Ebron,DET,TE,4.3
Clive Walford,OAK,TE,3.6
#,#,#,#
Randall Cobb,GB,WR,62
Antonio Brown,PIT,WR,60.9
Julio Jones,ATL,WR,57.7
Chris Hogan,NE,WR,52.5
Davante Adams,GB,WR,49.7
Julian Edelman,NE,WR,48.7
Doug Baldwin,SEA,WR,47.1
Dez Bryant,DAL,WR,34.2
Mohamed Sanu,ATL,WR,31.3
DeAndre Hopkins,HOU,WR,30.2
Eli Rogers,PIT,WR,21.3
Jarvis Landry,MIA,WR,21.2
Jordy Nelson,GB,WR,21
Kenny Stills,MIA,WR,13.2
Marvin Jones,DET,WR,12.1
Taylor Gabriel,ATL,WR,11.1
Sterling Shepard,NYG,WR,10.3
DeVante Parker,MIA,WR,9.5
Cole Beasley,DAL,WR,8.5
Tyreek Hill,KC,WR,8.5
Odell Beckham,NYG,WR,6.8
Victor Cruz,NYG,WR,6
Golden Tate,DET,WR,5.5
Sammie Coates,PIT,WR,5.4
Michael Crabtree,OAK,WR,5.3
Jermaine Kearse,SEA,WR,5.2
Jeremy Maclin,KC,WR,4.8
Danny Amendola,NE,WR,4.7
Anquan Boldin,DET,WR,4.4
Chris Conley,KC,WR,3.9
Amari Cooper,OAK,WR,3
